Date,Day,Time_Slot,Environment,Location,Connected_Devices,Download_Mbps_per_Device,Upload_Mbps_per_Device,Aggregate_Download_Mbps,Latency_ms,Signal_Strength_dBm,Dominant_Protocol,Packet_Loss_Percent
02-01-2024,Tuesday,04:00-06:00,Dining,Canteen/Mess,19,4.76,1.56,91.97,8.8,-52.1,Social Media,0.77
02-01-2024,Tuesday,06:00-08:00,Dining,Canteen/Mess,20,4.64,1.54,94.47,20.3,-52,HTTP/HTTPS,0.71
02-01-2024,Tuesday,08:00-10:00,Dining,Canteen/Mess,285,1.11,0.23,426.37,82.7,-52.1,Video Streaming,3.18
02-01-2024,Tuesday,10:00-12:00,Dining,Canteen/Mess,15,4.43,0.9,67.36,20.7,-50.6,HTTP/HTTPS,1
02-01-2024,Tuesday,12:00-14:00,Dining,Canteen/Mess,274,1.21,0.4,440.9,76.7,-50.8,Video Streaming,4.7
02-01-2024,Tuesday,14:00-16:00,Dining,Canteen/Mess,16,5.31,1.4,86.26,11.7,-52.8,Video Streaming,1.17
02-01-2024,Tuesday,16:00-18:00,Dining,Canteen/Mess,24,4.7,1.21,115.39,6.6,-54.2,Video Streaming,1.04
02-01-2024,Tuesday,18:00-20:00,Dining,Canteen/Mess,280,1.15,0.3,431.52,85.5,-51.9,HTTP/HTTPS,1.39
02-01-2024,Tuesday,20:00-22:00,Dining,Canteen/Mess,23,5.03,1.5,118.14,17,-51.2,HTTP/HTTPS,1.21
02-01-2024,Tuesday,22:00-00:00,Dining,Canteen/Mess,23,5.07,1.16,119.05,6.8,-52.1,HTTP/HTTPS,1.07
03-01-2024,Wednesday,00:00-02:00,Dining,Canteen/Mess,27,4.55,1.38,125.86,12,-50.2,Remote Desktop,0.96
03-01-2024,Wednesday,02:00-04:00,Dining,Canteen/Mess,18,5.29,1.52,96.84,12.1,-53.5,Video Streaming,0.86
03-01-2024,Wednesday,04:00-06:00,Dining,Canteen/Mess,26,4.88,1.2,129.79,8.8,-51.6,Social Media,0.8
03-01-2024,Wednesday,06:00-08:00,Dining,Canteen/Mess,15,5.94,1.48,90.24,15.9,-50.4,Video Streaming,0.72
03-01-2024,Wednesday,08:00-10:00,Dining,Canteen/Mess,254,1.3,0.43,428.12,64.4,-50.9,Video Streaming,1.09
03-01-2024,Wednesday,10:00-12:00,Dining,Canteen/Mess,15,4.81,1.66,73.2,5.5,-50.8,Social Media,0.96
03-01-2024,Wednesday,12:00-14:00,Dining,Canteen/Mess,267,1.22,0.41,428.15,75.7,-50.2,HTTP/HTTPS,1.31
03-01-2024,Wednesday,14:00-16:00,Dining,Canteen/Mess,17,4.5,1.01,77.7,6.2,-49.7,Remote Desktop,1.14
03-01-2024,Wednesday,16:00-18:00,Dining,Canteen/Mess,29,4.42,1.24,131.75,10.3,-52.5,Social Media,1.02
03-01-2024,Wednesday,18:00-20:00,Dining,Canteen/Mess,295,1.11,0.24,447.08,84.6,-58.1,Remote Desktop,1.4
03-01-2024,Wednesday,20:00-22:00,Dining,Canteen/Mess,19,5.59,1.28,108,8.7,-57.2,Social Media,1.22
03-01-2024,Wednesday,22:00-00:00,Dining,Canteen/Mess,20,5.18,1.44,105.59,9.4,-56.6,Gaming,1.07
04-01-2024,Thursday,00:00-02:00,Dining,Canteen/Mess,24,4.39,1.37,107.74,14.1,-54.3,Cloud Sync,0.96
04-01-2024,Thursday,02:00-04:00,Dining,Canteen/Mess,19,4.52,1.24,87.44,14.1,-54,Cloud Sync,0.86
04-01-2024,Thursday,04:00-06:00,Dining,Canteen/Mess,31,4.29,1.21,136.88,11.1,-55.9,Video Streaming,0.8
04-01-2024,Thursday,06:00-08:00,Dining,Canteen/Mess,20,4.31,1.46,87.76,14.1,-56,Video Streaming,0.74
04-01-2024,Thursday,08:00-10:00,Dining,Canteen/Mess,279,1.18,0.38,439,74.9,-56.5,Video Streaming,1.15
04-01-2024,Thursday,10:00-12:00,Dining,Canteen/Mess,24,5.46,1.85,133.87,4.3,-53.7,Social Media,1.02
04-01-2024,Thursday,12:00-14:00,Dining,Canteen/Mess,292,1.11,0.38,438.49,76.7,-55.9,VoIP,1.4
04-01-2024,Thursday,14:00-16:00,Dining,Canteen/Mess,19,5.1,1.45,98.64,7.8,-53.1,Social Media,1.21
04-01-2024,Thursday,16:00-18:00,Dining,Canteen/Mess,20,5.17,1.5,105.32,11.5,-54.3,Remote Desktop,1.07
04-01-2024,Thursday,18:00-20:00,Dining,Canteen/Mess,266,1.22,0.31,426.71,76.8,-58.2,VoIP,1.39
04-01-2024,Thursday,20:00-22:00,Dining,Canteen/Mess,17,5.48,1.41,94.63,6.1,-56.8,Social Media,1.2
04-01-2024,Thursday,22:00-00:00,Dining,Canteen/Mess,24,4.59,1.4,112.5,25.4,-50.5,Gaming,1.06
05-01-2024,Friday,00:00-02:00,Dining,Canteen/Mess,26,4.03,0.86,107.28,12.9,-51.4,Remote Desktop,0.96
05-01-2024,Friday,02:00-04:00,Dining,Canteen/Mess,24,4.35,0.92,106.67,9,-52.2,VoIP,0.87
05-01-2024,Friday,04:00-06:00,Dining,Canteen/Mess,21,4.81,1.48,102.87,4,-48.5,VoIP,0.79
05-01-2024,Friday,06:00-08:00,Dining,Canteen/Mess,22,4.82,1.21,108.11,11.9,-47.5,Social Media,0.73
05-01-2024,Friday,08:00-10:00,Dining,Canteen/Mess,265,1.19,0.24,412.76,67.2,-52.7,Social Media,1.12
05-01-2024,Friday,10:00-12:00,Dining,Canteen/Mess,27,3.95,0.86,109.17,4.6,-49.6,Social Media,7.91
05-01-2024,Friday,12:00-14:00,Dining,Canteen/Mess,282,1.14,0.31,430.56,81.8,-55,Gaming,1.37
05-01-2024,Friday,14:00-16:00,Dining,Canteen/Mess,19,4.91,1.25,94.97,7.4,-51.2,Cloud Sync,1.19
05-01-2024,Friday,16:00-18:00,Dining,Canteen/Mess,16,4.88,1.26,79.26,8.1,-50.7,Video Streaming,1.04
05-01-2024,Friday,18:00-20:00,Dining,Canteen/Mess,278,1.19,0.28,440.64,75.2,-53.4,Video Streaming,1.39
05-01-2024,Friday,20:00-22:00,Dining,Canteen/Mess,18,4.83,1.06,88.43,6.8,-53.4,Video Streaming,1.2
05-01-2024,Friday,22:00-00:00,Dining,Canteen/Mess,18,5.23,1.62,95.71,13.7,-51.3,Gaming,1.05
06-01-2024,Saturday,00:00-02:00,Dining,Canteen/Mess,21,5.09,1.67,109.05,15.5,-48.4,Video Streaming,0.94
06-01-2024,Saturday,02:00-04:00,Dining,Canteen/Mess,16,4.02,0.85,65.29,18.3,-49.1,Gaming,0.84
06-01-2024,Saturday,04:00-06:00,Dining,Canteen/Mess,20,3.75,0.91,76.39,12.3,-47.5,Gaming,0.77
06-01-2024,Saturday,06:00-08:00,Dining,Canteen/Mess,21,4.65,1.4,99.58,15.4,-48.9,Video Streaming,0.71
06-01-2024,Saturday,08:00-10:00,Dining,Canteen/Mess,258,1.31,0.41,439.1,77.4,-51.9,Video Streaming,1.09
06-01-2024,Saturday,10:00-12:00,Dining,Canteen/Mess,19,5.45,1.67,105.34,7.7,-53.4,VoIP,0.97
06-01-2024,Saturday,12:00-14:00,Dining,Canteen/Mess,245,1.38,0.31,434.2,68.9,-51.3,Social Media,1.27
06-01-2024,Saturday,14:00-16:00,Dining,Canteen/Mess,22,4.37,0.97,98.15,12.5,-51.9,Gaming,1.12
06-01-2024,Saturday,16:00-18:00,Dining,Canteen/Mess,15,3.92,1.03,59.59,4.7,-47.7,Video Streaming,0.98
06-01-2024,Saturday,18:00-20:00,Dining,Canteen/Mess,249,1.31,0.39,419.62,73.2,-50.8,HTTP/HTTPS,1.29
06-01-2024,Saturday,20:00-22:00,Dining,Canteen/Mess,17,4.6,1.35,79.43,11.5,-47.5,Social Media,1.12
06-01-2024,Saturday,22:00-00:00,Dining,Canteen/Mess,17,4.6,0.96,79.5,14,-41.9,Video Streaming,0.99
07-01-2024,Sunday,00:00-02:00,Dining,Canteen/Mess,16,4.78,1.41,77.63,10.2,-47.7,HTTP/HTTPS,0.88
07-01-2024,Sunday,02:00-04:00,Dining,Canteen/Mess,18,4.97,1.17,90.98,9.7,-47.6,Cloud Sync,0.79
07-01-2024,Sunday,04:00-06:00,Dining,Canteen/Mess,17,5.86,1.31,101.09,17.5,-45.7,Gaming,0.73
07-01-2024,Sunday,06:00-08:00,Dining,Canteen/Mess,20,5.03,1.55,102.52,15,-44.7,Social Media,0.68
07-01-2024,Sunday,08:00-10:00,Dining,Canteen/Mess,247,1.32,0.3,419.48,69.4,-47,Cloud Sync,1.04
07-01-2024,Sunday,10:00-12:00,Dining,Canteen/Mess,13,5.41,1.54,71.13,6,-46.6,VoIP,0.92
07-01-2024,Sunday,12:00-14:00,Dining,Canteen/Mess,264,1.28,0.39,442.15,65.1,-49.9,Video Streaming,1.27
07-01-2024,Sunday,14:00-16:00,Dining,Canteen/Mess,17,5.67,1.75,97.82,11,-47.5,HTTP/HTTPS,1.1
07-01-2024,Sunday,16:00-18:00,Dining,Canteen/Mess,20,4.74,1.39,96.55,10.3,-45.6,Gaming,0.98
07-01-2024,Sunday,18:00-20:00,Dining,Canteen/Mess,266,1.26,0.42,441.92,83.4,-50.7,HTTP/HTTPS,1.32
07-01-2024,Sunday,20:00-22:00,Dining,Canteen/Mess,26,4.87,1.66,129.77,10.1,-50.3,HTTP/HTTPS,1.16
07-01-2024,Sunday,22:00-00:00,Dining,Canteen/Mess,17,5.42,1.82,93.51,15.2,-47.7,HTTP/HTTPS,1.02
08-01-2024,Monday,00:00-02:00,Dining,Canteen/Mess,24,4.5,0.92,110.48,6.1,-45.6,Cloud Sync,0.92
08-01-2024,Monday,02:00-04:00,Dining,Canteen/Mess,19,4.71,1.56,91.09,16.2,-46.9,Video Streaming,0.83
08-01-2024,Monday,04:00-06:00,Dining,Canteen/Mess,20,5.18,1.21,105.53,13,-46.7,Social Media,0.76
08-01-2024,Monday,06:00-08:00,Dining,Canteen/Mess,26,4.8,1.42,127.75,12.7,-48.9,HTTP/HTTPS,0.71
08-01-2024,Monday,08:00-10:00,Dining,Canteen/Mess,255,1.3,0.42,429.65,68.3,-47.4,Video Streaming,1.09
08-01-2024,Monday,10:00-12:00,Dining,Canteen/Mess,22,4.1,0.93,92.12,21.8,-49.6,Video Streaming,0.97
08-01-2024,Monday,12:00-14:00,Dining,Canteen/Mess,277,1.17,0.4,430.01,73.8,-52.4,Gaming,1.33
08-01-2024,Monday,14:00-16:00,Dining,Canteen/Mess,19,4.15,1.22,80.25,10.9,-49,Remote Desktop,1.16
08-01-2024,Monday,16:00-18:00,Dining,Canteen/Mess,22,4.27,0.95,95.88,16.1,-47.3,Gaming,1.02
08-01-2024,Monday,18:00-20:00,Dining,Canteen/Mess,272,1.17,0.26,420.89,71.7,-53.1,Cloud Sync,1.37
08-01-2024,Monday,20:00-22:00,Dining,Canteen/Mess,15,4.83,1.28,73.48,14,-51.4,Video Streaming,1.18
08-01-2024,Monday,22:00-00:00,Dining,Canteen/Mess,23,5.09,1.63,119.44,7.5,-49.2,Remote Desktop,1.04
09-01-2024,Tuesday,00:00-02:00,Dining,Canteen/Mess,22,4.95,1.22,111.14,15.5,-52.9,Cloud Sync,0.93
09-01-2024,Tuesday,02:00-04:00,Dining,Canteen/Mess,25,4.81,1.08,122.98,4,-52.9,HTTP/HTTPS,0.85
09-01-2024,Tuesday,04:00-06:00,Dining,Canteen/Mess,25,4.54,1.03,116.12,16.3,-50.2,Gaming,0.79
09-01-2024,Tuesday,06:00-08:00,Dining,Canteen/Mess,20,4.82,1.3,98.22,19.4,-52.1,HTTP/HTTPS,0.73
09-01-2024,Tuesday,08:00-10:00,Dining,Canteen/Mess,279,1.17,0.35,435.97,86.8,-54.4,HTTP/HTTPS,1.14
09-01-2024,Tuesday,10:00-12:00,Dining,Canteen/Mess,24,4.45,0.95,109.23,17.4,-54.5,Remote Desktop,1.01
09-01-2024,Tuesday,12:00-14:00,Dining,Canteen/Mess,271,1.21,0.28,433.99,80.3,-52.2,Video Streaming,1.35
09-01-2024,Tuesday,14:00-16:00,Dining,Canteen/Mess,22,4.79,1.4,107.44,7.5,-53.8,Cloud Sync,1.18
09-01-2024,Tuesday,16:00-18:00,Dining,Canteen/Mess,23,4.1,1.32,96.37,14.7,-53.8,Gaming,1.05
09-01-2024,Tuesday,18:00-20:00,Dining,Canteen/Mess,309,0.99,0.31,421.96,85,-55.3,Social Media,1.45
09-01-2024,Tuesday,20:00-22:00,Dining,Canteen/Mess,18,4.48,1.54,82.05,4,-54.1,VoIP,1.25
09-01-2024,Tuesday,22:00-00:00,Dining,Canteen/Mess,23,4.85,1.41,113.84,16.4,-53.4,HTTP/HTTPS,1.1
10-01-2024,Wednesday,00:00-02:00,Dining,Canteen/Mess,18,5.48,1.72,100.21,14.6,-50.4,Video Streaming,0.97
10-01-2024,Wednesday,02:00-04:00,Dining,Canteen/Mess,21,5.04,1.15,107.78,11.8,-53.7,Video Streaming,0.88
10-01-2024,Wednesday,04:00-06:00,Dining,Canteen/Mess,21,4.51,0.96,96.46,19,-50.2,Gaming,0.8
10-01-2024,Wednesday,06:00-08:00,Dining,Canteen/Mess,19,4.34,1,83.99,8.5,-48.9,Remote Desktop,0.73
10-01-2024,Wednesday,08:00-10:00,Dining,Canteen/Mess,282,1.17,0.33,443.71,84.9,-52.7,Social Media,1.15
10-01-2024,Wednesday,10:00-12:00,Dining,Canteen/Mess,22,5.05,1.69,113.42,18.7,-56,Social Media,1.02
10-01-2024,Wednesday,12:00-14:00,Dining,Canteen/Mess,271,1.18,0.3,424.53,82.1,-60.6,HTTP/HTTPS,1.36
10-01-2024,Wednesday,14:00-16:00,Dining,Canteen/Mess,15,4.99,1.44,75.9,10.2,-57.6,HTTP/HTTPS,1.17
10-01-2024,Wednesday,16:00-18:00,Dining,Canteen/Mess,17,5.09,1.33,87.91,9.1,-54.3,Video Streaming,1.03
10-01-2024,Wednesday,18:00-20:00,Dining,Canteen/Mess,291,1.1,0.34,433.51,75.4,-53.4,HTTP/HTTPS,1.4
10-01-2024,Wednesday,20:00-22:00,Dining,Canteen/Mess,26,4.43,1.08,118.02,10.6,-53.6,Video Streaming,1.23
10-01-2024,Wednesday,22:00-00:00,Dining,Canteen/Mess,20,4.95,1.4,100.78,13.9,-52.2,HTTP/HTTPS,1.08
11-01-2024,Thursday,00:00-02:00,Dining,Canteen/Mess,20,4.67,1.57,95.01,16.7,-54.1,Cloud Sync,0.96
11-01-2024,Thursday,02:00-04:00,Dining,Canteen/Mess,27,4.65,1.23,128.55,12.3,-53.3,HTTP/HTTPS,0.88
11-01-2024,Thursday,04:00-06:00,Dining,Canteen/Mess,26,4.78,1.36,127.19,8.3,-49.3,HTTP/HTTPS,0.81
11-01-2024,Thursday,06:00-08:00,Dining,Canteen/Mess,22,4.78,1.45,107.3,16.4,-49.5,VoIP,0.74
11-01-2024,Thursday,08:00-10:00,Dining,Canteen/Mess,287,1.13,0.38,435.67,81.9,-53.3,Social Media,1.17
11-01-2024,Thursday,10:00-12:00,Dining,Canteen/Mess,24,4.73,1.43,115.92,9.3,-49.3,Gaming,1.04
11-01-2024,Thursday,12:00-14:00,Dining,Canteen/Mess,274,1.21,0.3,441.5,81.1,-51.7,Cloud Sync,1.38
11-01-2024,Thursday,14:00-16:00,Dining,Canteen/Mess,20,4.88,1.54,99.38,13.7,-49.7,VoIP,1.2
11-01-2024,Thursday,16:00-18:00,Dining,Canteen/Mess,26,4.97,1.57,132.21,15.6,-50.2,Remote Desktop,1.07
11-01-2024,Thursday,18:00-20:00,Dining,Canteen/Mess,268,1.23,0.39,432.66,76.2,-50.1,HTTP/HTTPS,1.39
11-01-2024,Thursday,20:00-22:00,Dining,Canteen/Mess,24,4.85,1.35,118.88,6.1,-46.9,VoIP,1.22
11-01-2024,Thursday,22:00-00:00,Dining,Canteen/Mess,16,5.75,1.7,93.4,14.5,-42.6,Video Streaming,1.06
12-01-2024,Friday,00:00-02:00,Dining,Canteen/Mess,26,4.79,1.12,127.59,15.1,-42.7,Social Media,0.96
12-01-2024,Friday,02:00-04:00,Dining,Canteen/Mess,16,4.73,1.55,76.8,12.9,-45.6,HTTP/HTTPS,0.85
12-01-2024,Friday,04:00-06:00,Dining,Canteen/Mess,20,4.49,1.57,91.51,13.3,-48,Gaming,0.78
12-01-2024,Friday,06:00-08:00,Dining,Canteen/Mess,27,4.49,1.17,124.12,22.2,-46.6,Video Streaming,0.73
12-01-2024,Friday,08:00-10:00,Dining,Canteen/Mess,277,1.17,0.41,432.33,83.2,-49.1,Cloud Sync,1.14
12-01-2024,Friday,10:00-12:00,Dining,Canteen/Mess,24,4.57,1.49,112.03,16,-45.5,HTTP/HTTPS,1.01
12-01-2024,Friday,12:00-14:00,Dining,Canteen/Mess,296,1.06,0.31,428.82,87.5,-47.9,HTTP/HTTPS,4.02
12-01-2024,Friday,14:00-16:00,Dining,Canteen/Mess,21,4.38,0.88,93.65,9.3,-48,Video Streaming,1.22
12-01-2024,Friday,16:00-18:00,Dining,Canteen/Mess,18,4.22,1.23,77.14,7.4,-47.6,Video Streaming,1.07
12-01-2024,Friday,18:00-20:00,Dining,Canteen/Mess,288,1.1,0.31,427.16,77.2,-51.5,Video Streaming,1.43
12-01-2024,Friday,20:00-22:00,Dining,Canteen/Mess,20,4.49,0.98,91.54,14.4,-50.8,Gaming,1.24
12-01-2024,Friday,22:00-00:00,Dining,Canteen/Mess,26,4.67,1.47,124.41,8.4,-50.2,Social Media,1.1
13-01-2024,Saturday,00:00-02:00,Dining,Canteen/Mess,20,4.34,1.11,88.48,6.9,-53.3,Gaming,0.97
13-01-2024,Saturday,02:00-04:00,Dining,Canteen/Mess,13,4.25,1.13,55.91,10,-49.9,Social Media,0.86
13-01-2024,Saturday,04:00-06:00,Dining,Canteen/Mess,23,4.93,1.13,115.84,20.6,-49.1,HTTP/HTTPS,0.79
13-01-2024,Saturday,06:00-08:00,Dining,Canteen/Mess,23,4.63,1.3,108.79,11,-55.6,Social Media,0.73
13-01-2024,Saturday,08:00-10:00,Dining,Canteen/Mess,252,1.34,0.44,435.87,73.2,-56.9,Social Media,1.1
13-01-2024,Saturday,10:00-12:00,Dining,Canteen/Mess,19,5.17,1.6,99.99,16.1,-57,Video Streaming,0.97
13-01-2024,Saturday,12:00-14:00,Dining,Canteen/Mess,259,1.27,0.42,429.07,70.6,-55.8,Social Media,1.3
13-01-2024,Saturday,14:00-16:00,Dining,Canteen/Mess,18,5.33,1.13,97.45,5.5,-52.7,Video Streaming,7.68
13-01-2024,Saturday,16:00-18:00,Dining,Canteen/Mess,22,4.95,1.61,111.2,7.4,-49.6,Cloud Sync,1
13-01-2024,Saturday,18:00-20:00,Dining,Canteen/Mess,240,1.38,0.45,422.54,65.8,-51.1,Social Media,1.29
13-01-2024,Saturday,20:00-22:00,Dining,Canteen/Mess,15,4.78,1.36,72.68,6,-53.1,HTTP/HTTPS,1.12
13-01-2024,Saturday,22:00-00:00,Dining,Canteen/Mess,18,4.27,1.22,78.11,15.9,-52.5,HTTP/HTTPS,0.99
14-01-2024,Sunday,00:00-02:00,Dining,Canteen/Mess,22,4.34,1.2,97.48,23.8,-52.5,VoIP,0.89
14-01-2024,Sunday,02:00-04:00,Dining,Canteen/Mess,19,4.22,1.18,81.66,23.6,-47.9,Gaming,0.81
14-01-2024,Sunday,04:00-06:00,Dining,Canteen/Mess,19,4.01,1.2,77.48,12.8,-47.8,HTTP/HTTPS,0.74
14-01-2024,Sunday,06:00-08:00,Dining,Canteen/Mess,20,4.53,0.97,92.29,11.8,-49.5,Gaming,0.69
14-01-2024,Sunday,08:00-10:00,Dining,Canteen/Mess,240,1.39,0.47,424.93,65.1,-51.5,Remote Desktop,1.04
14-01-2024,Sunday,10:00-12:00,Dining,Canteen/Mess,16,4.72,1.27,76.57,4,-50.3,HTTP/HTTPS,0.92
14-01-2024,Sunday,12:00-14:00,Dining,Canteen/Mess,254,1.3,0.4,429.28,70.5,-52.9,Social Media,1.25
14-01-2024,Sunday,14:00-16:00,Dining,Canteen/Mess,22,4.37,1.08,98.11,9.8,-49.8,Cloud Sync,1.1
14-01-2024,Sunday,16:00-18:00,Dining,Canteen/Mess,20,5.19,1.57,105.69,18.5,-47.2,Social Media,0.97
14-01-2024,Sunday,18:00-20:00,Dining,Canteen/Mess,294,1.11,0.34,443,79.8,-51.2,Video Streaming,1.36
14-01-2024,Sunday,20:00-22:00,Dining,Canteen/Mess,20,4.37,1.27,88.91,9.6,-48.6,HTTP/HTTPS,1.19
14-01-2024,Sunday,22:00-00:00,Dining,Canteen/Mess,22,4.52,1.54,101.4,19.5,-47,Video Streaming,1.05
15-01-2024,Monday,00:00-02:00,Dining,Canteen/Mess,23,4.54,1.1,106.52,4,-46.3,Social Media,0.94
15-01-2024,Monday,02:00-04:00,Dining,Canteen/Mess,23,4.18,1.01,98.07,15.1,-46.6,Remote Desktop,0.85
15-01-2024,Monday,04:00-06:00,Dining,Canteen/Mess,27,4.45,1.45,123.04,16.8,-44.9,Remote Desktop,0.79
15-01-2024,Monday,06:00-08:00,Dining,Canteen/Mess,21,5.08,1.76,108.82,8.2,-48.9,Video Streaming,0.73
15-01-2024,Monday,08:00-10:00,Dining,Canteen/Mess,285,1.18,0.3,452.58,75.2,-51.5,Social Media,1.15
15-01-2024,Monday,10:00-12:00,Dining,Canteen/Mess,22,5.65,1.27,126.9,18.6,-54.3,Video Streaming,1.02
15-01-2024,Monday,12:00-14:00,Dining,Canteen/Mess,266,1.27,0.44,442.72,78.3,-53.7,Social Media,6.75
15-01-2024,Monday,14:00-16:00,Dining,Canteen/Mess,20,4.99,1.45,101.61,10.5,-52.4,Video Streaming,1.18
15-01-2024,Monday,16:00-18:00,Dining,Canteen/Mess,22,4.6,1.12,103.21,13.7,-54.5,Video Streaming,1.04
15-01-2024,Monday,18:00-20:00,Dining,Canteen/Mess,293,1.11,0.27,440.24,91.1,-52.7,Cloud Sync,1.42
15-01-2024,Monday,20:00-22:00,Dining,Canteen/Mess,24,4.59,1.52,112.59,10.6,-49.3,Remote Desktop,1.24
15-01-2024,Monday,22:00-00:00,Dining,Canteen/Mess,25,4.28,1.26,109.55,12.3,-49.9,Video Streaming,1.09
16-01-2024,Tuesday,00:00-02:00,Dining,Canteen/Mess,20,4.52,1.41,92.11,11.9,-51.5,HTTP/HTTPS,0.97
16-01-2024,Tuesday,02:00-04:00,Dining,Canteen/Mess,21,4.91,1.12,105.14,12.1,-53.9,HTTP/HTTPS,0.87
16-01-2024,Tuesday,04:00-06:00,Dining,Canteen/Mess,24,4.5,1.1,110.42,15.9,-52,Video Streaming,0.8
16-01-2024,Tuesday,06:00-08:00,Dining,Canteen/Mess,17,5.17,1.47,89.26,10.3,-51.6,HTTP/HTTPS,0.73
16-01-2024,Tuesday,08:00-10:00,Dining,Canteen/Mess,281,1.15,0.26,433.83,71.2,-53.9,Social Media,1.15
16-01-2024,Tuesday,10:00-12:00,Dining,Canteen/Mess,25,4.8,1.6,122.76,6.1,-52.1,Gaming,1.02
16-01-2024,Tuesday,12:00-14:00,Dining,Canteen/Mess,296,1.06,0.23,429.39,79.8,-53.2,Cloud Sync,1.41
16-01-2024,Tuesday,14:00-16:00,Dining,Canteen/Mess,27,4.59,1.17,126.96,8,-48.7,Cloud Sync,1.23
16-01-2024,Tuesday,16:00-18:00,Dining,Canteen/Mess,20,5.7,1.39,115.99,12.8,-50,Gaming,1.08
16-01-2024,Tuesday,18:00-20:00,Dining,Canteen/Mess,285,1.17,0.38,448.51,84.2,-52,Gaming,1.43
16-01-2024,Tuesday,20:00-22:00,Dining,Canteen/Mess,25,4.43,1.1,113.17,8,-51,Video Streaming,1.25
16-01-2024,Tuesday,22:00-00:00,Dining,Canteen/Mess,20,4.93,1.69,100.42,11,-46.9,Remote Desktop,1.1
17-01-2024,Wednesday,00:00-02:00,Dining,Canteen/Mess,21,4.03,1.31,86.22,4.2,-46.9,Social Media,0.98
17-01-2024,Wednesday,02:00-04:00,Dining,Canteen/Mess,26,4.84,1.52,128.95,11,-46.3,Social Media,0.89
17-01-2024,Wednesday,04:00-06:00,Dining,Canteen/Mess,19,5.06,1.5,97.82,8.9,-45.4,VoIP,0.8
17-01-2024,Wednesday,06:00-08:00,Dining,Canteen/Mess,23,5.27,1.19,123.8,14,-46.8,VoIP,0.74
17-01-2024,Wednesday,08:00-10:00,Dining,Canteen/Mess,318,0.99,0.34,443.08,89.3,-51.9,Social Media,4.07
17-01-2024,Wednesday,10:00-12:00,Dining,Canteen/Mess,21,5.01,1.64,107.34,12.1,-49.9,Gaming,1.08
17-01-2024,Wednesday,12:00-14:00,Dining,Canteen/Mess,280,1.16,0.27,435.14,86.4,-52.7,Remote Desktop,1.42
17-01-2024,Wednesday,14:00-16:00,Dining,Canteen/Mess,25,4.22,0.96,108.01,14.5,-52.1,HTTP/HTTPS,1.24
17-01-2024,Wednesday,16:00-18:00,Dining,Canteen/Mess,22,4.67,1.57,104.85,14,-47,Cloud Sync,1.09
17-01-2024,Wednesday,18:00-20:00,Dining,Canteen/Mess,283,1.14,0.27,433.76,76.2,-48.8,Video Streaming,1.44
17-01-2024,Wednesday,20:00-22:00,Dining,Canteen/Mess,25,4.63,1.31,118.29,12.7,-53.5,Gaming,1.26
17-01-2024,Wednesday,22:00-00:00,Dining,Canteen/Mess,15,5.01,1.32,76.22,11.6,-54.3,HTTP/HTTPS,1.09
18-01-2024,Thursday,00:00-02:00,Dining,Canteen/Mess,18,5.34,1.46,97.66,14.4,-52.4,HTTP/HTTPS,0.97
18-01-2024,Thursday,02:00-04:00,Dining,Canteen/Mess,20,4.89,1.4,99.53,20.4,-53.9,Video Streaming,0.87
